Year,Private & Company Cars
2021,579369.0
2020,565033.0
2019,555540.0
2018,551575.0
2017,546706.0
2016,552427.0
2015,575353.0
2014,600176.0
2013,607292.0
2012,605149.0
2011,592361.0
2010,584399.0
2009,566608.0
2008,540455.0
2007,505987.0
2006,465482.0
2005,432827.0
2004,412015.0
2003,399923.0
2002,398166.0
2001,398787.0
2000,386780.0
1999,378024.0
1998,370804.0
1997,373345.0
1996,362142.0
1995,342245.0
1994,321556.0
1993,303864.0
1992,285500.0
1991,283746.0
1990,271174.0
1989,257371.0
1988,237801.0
1987,222487.0
1986,220566.0
1985,221279.0
1984,217119.0
1983,202092.0
1982,179635.0
1981,161692.0
1980,152574.0
1979,143402.0
1978,137240.0
1977,134903.0
1976,135499.0
1975,142045.0
1974,142674.0
1973,187972.0
1972,168991.0
1971,155956.0
1970,142568.0
1969,130088.0
1968,121106.0
1967,116097.0
1966,113287.0
1965,104729.0
1964,95349.0
1963,85668.0
1962,77379.0
1961,70108.0
