Month,Type of Vehicle,Type of Fuel,Count
2016-01,Cars,Petrol,586980
2016-01,Cars,Diesel,6297
2016-01,Cars,Petrol-Electric,6476
2016-01,Cars,Petrol-Electric (Plug-In),108
2016-01,Cars,Petrol-CNG,1917
2016-01,Cars,CNG,0
2016-01,Cars,Electric,1
2016-01,Cars,Diesel-Electric,23
2016-02,Cars,Petrol,585663
2016-02,Cars,Diesel,6564
2016-02,Cars,Petrol-Electric,6552
2016-02,Cars,Petrol-Electric (Plug-In),112
2016-02,Cars,Petrol-CNG,1901
2016-02,Cars,CNG,0
2016-02,Cars,Electric,2
2016-02,Cars,Diesel-Electric,23
2016-03,Cars,Petrol,582475
2016-03,Cars,Diesel,6875
2016-03,Cars,Petrol-Electric,6692
2016-03,Cars,Petrol-Electric (Plug-In),113
2016-03,Cars,Petrol-CNG,1882
2016-03,Cars,CNG,0
2016-03,Cars,Electric,2
2016-03,Cars,Diesel-Electric,23
2016-04,Cars,Petrol,581610
2016-04,Cars,Diesel,7234
2016-04,Cars,Petrol-Electric,6810
2016-04,Cars,Petrol-Electric (Plug-In),117
2016-04,Cars,Petrol-CNG,1853
2016-04,Cars,CNG,0
2016-04,Cars,Electric,2
2016-04,Cars,Diesel-Electric,22
2016-05,Cars,Petrol,581925
2016-05,Cars,Diesel,7588
2016-05,Cars,Petrol-Electric,6934
2016-05,Cars,Petrol-Electric (Plug-In),120
2016-05,Cars,Petrol-CNG,1807
2016-05,Cars,CNG,0
2016-05,Cars,Electric,2
2016-05,Cars,Diesel-Electric,22
2016-06,Cars,Petrol,582631
2016-06,Cars,Diesel,8032
2016-06,Cars,Petrol-Electric,7139
2016-06,Cars,Petrol-Electric (Plug-In),123
2016-06,Cars,Petrol-CNG,1781
2016-06,Cars,CNG,0
2016-06,Cars,Electric,2
2016-06,Cars,Diesel-Electric,22
2016-07,Cars,Petrol,582075
2016-07,Cars,Diesel,8452
2016-07,Cars,Petrol-Electric,7307
